voltage, time
0.19737,2.7722
0.20575,2.7807
0.19825,2.7893
0.2155,2.7979
0.221,2.8064
0.20287,2.815
0.21475,2.8235
0.194,2.8321
0.19362,2.8406
0.20413,2.8492
0.21438,2.8578
0.21887,2.8663
0.21825,2.8749
0.203,2.8834
0.21375,2.892
0.20788,2.9005
0.19712,2.9091
0.2005,2.9176
0.193,2.9262
0.21313,2.9348
0.20388,2.9433
0.19962,2.9519
0.2135,2.9604
0.19112,2.969
0.19787,2.9775
0.21638,2.9861
0.21063,2.9947
0.21425,3.0032
0.206,3.0118
0.21887,3.0203
0.2155,3.0289
0.21738,3.0374
0.21213,3.046
0.218,3.0545
0.21338,3.0631
0.1945,3.0717
0.20563,3.0802
0.215,3.0888
0.22212,3.0973
0.215,3.1059
0.2215,3.1144
0.1965,3.123
0.20688,3.1316
0.20588,3.1401
0.215,3.1487
0.21013,3.1572
0.224,3.1658
0.219,3.1743
0.223,3.1829
0.22137,3.1914
0.21788,3.2
0.20875,3.2086
0.22037,3.2171
0.2205,3.2257
0.21413,3.2342
0.22125,3.2428
0.21912,3.2513
0.1985,3.2599
0.19412,3.2684
0.2115,3.277
0.22262,3.2856
0.20775,3.2941
0.21875,3.3027
0.21825,3.3112
0.20663,3.3198
0.19775,3.3283
0.19762,3.3369
0.20075,3.3455
0.19875,3.354
0.20663,3.3626
0.20175,3.3711
0.20212,3.3797
0.22125,3.3882
0.21275,3.3968
0.22162,3.4053
0.19662,3.4139
0.20788,3.4225
0.22225,3.431
0.21863,3.4396
0.22112,3.4481
0.21613,3.4567
0.22175,3.4652
0.20888,3.4738
0.22187,3.4824
0.2195,3.4909
0.21125,3.4995
0.22187,3.508
0.20825,3.5166
0.20212,3.5251
0.22225,3.5337
0.21513,3.5422
0.215,3.5508
0.2075,3.5594
0.21488,3.5679
0.20162,3.5765
0.21425,3.585
0.22525,3.5936
0.20925,3.6021
0.21813,3.6107
0.21025,3.6193
0.19987,3.6278
0.224,3.6364
0.22112,3.6449
0.21575,3.6535
0.22337,3.662
0.215,3.6706
0.2,3.6791
0.19937,3.6877
0.21213,3.6963
0.20262,3.7048
0.20037,3.7134
0.21425,3.7219
0.20563,3.7305
0.20438,3.739
0.219,3.7476
0.21375,3.7561
0.22137,3.7647
0.1985,3.7733
0.20112,3.7818
0.22362,3.7904
0.22887,3.7989
0.19937,3.8075
0.2025,3.816
0.20563,3.8246
0.20187,3.8332
0.22075,3.8417
0.22675,3.8503
0.20813,3.8588
0.2035,3.8674
0.20237,3.8759
0.20338,3.8845
0.21663,3.893
0.22462,3.9016
0.20913,3.9102
0.22075,3.9187
0.20788,3.9273
0.20375,3.9358
0.2095,3.9444
0.20175,3.9529
0.22212,3.9615
0.21338,3.9701
0.20338,3.9786
0.20275,3.9872
0.21838,3.9957
0.22762,4.0043
0.21275,4.0128
0.20813,4.0214
0.2235,4.0299
0.21138,4.0385
0.21813,4.0471
0.21388,4.0556
0.22512,4.0642
0.22762,4.0727
0.2255,4.0813
0.22612,4.0898
0.21775,4.0984
0.20838,4.107
0.21375,4.1155
0.20312,4.1241
0.21313,4.1326
0.20425,4.1412
0.20825,4.1497
0.205,4.1583
0.21887,4.1668
0.2135,4.1754
0.219,4.184
0.2285,4.1925
0.20175,4.2011
0.21075,4.2096
0.20275,4.2182
0.21138,4.2267
0.213,4.2353
0.20788,4.2439
0.21825,4.2524
0.21413,4.261
0.20963,4.2695
0.20888,4.2781
0.21138,4.2866
0.207,4.2952
0.20425,4.3037
0.21575,4.3123
0.208,4.3209
0.20613,4.3294
0.21738,4.338
0.22737,4.3465
0.2225,4.3551
0.22912,4.3636
0.20913,4.3722
0.20713,4.3807
0.2125,4.3893
0.20888,4.3979
0.22975,4.4064
0.22425,4.415
0.21063,4.4235
0.20713,4.4321
0.21738,4.4406
0.211,4.4492
0.20463,4.4578
0.20638,4.4663
0.20838,4.4749
0.20675,4.4834
0.22712,4.492
0.22087,4.5005
0.21188,4.5091
0.22187,4.5176
0.22,4.5262
0.214,4.5348
0.22725,4.5433
0.23137,4.5519
0.2235,4.5604
0.21425,4.569
0.22187,4.5775
0.22987,4.5861
0.22887,4.5947
0.22537,4.6032
0.2065,4.6118
0.214,4.6203
0.2195,4.6289
0.22912,4.6374
0.218,4.646
0.20775,4.6545
0.22462,4.6631
0.21725,4.6717
0.21713,4.6802
0.22712,4.6888
0.22975,4.6973
0.22787,4.7059
0.20488,4.7144
0.20413,4.723
0.217,4.7316
0.22825,4.7401
0.22475,4.7487
0.21925,4.7572
0.208,4.7658
0.20738,4.7743
0.21513,4.7829
0.21075,4.7914
0.21075,4.8
0.20875,4.8086
0.22825,4.8171
0.21663,4.8257
0.22837,4.8342
